Jump,RefLevel,SpectralRadii,AvgGMRESIters,MGAsymptoticRate
1.000000e+00,0,"1.88015e-15",11.00,1.000000e+00
1.000000e+00,1,"0.296198",15.25,2.940681e-01
1.000000e+00,2,"0.348242",17.00,3.402694e-01
1.000000e+00,3,"0.36479",19.00,3.498221e-01
1.000000e+00,4,"0.375613",19.00,3.511066e-01
1.000000e+00,5,"0.380845",20.00,3.512072e-01
1.000000e+01,0,"7.03685e-15",10.00,1.000000e+00
1.000000e+01,1,"0.787815",16.62,7.808621e-01
1.000000e+01,2,"0.855571",19.12,8.117921e-01
1.000000e+01,3,"0.876026",20.00,8.157635e-01
1.000000e+01,4,"0.880366",21.00,8.222214e-01
1.000000e+01,5,"0.882764",21.00,8.247605e-01
1.000000e+02,0,"3.42225e-14",8.88,1.000000e+00
1.000000e+02,1,"0.975621",36.75,9.442125e-01
1.000000e+02,2,"0.983105",46.25,9.538788e-01
1.000000e+02,3,"0.985453",48.88,9.601253e-01
1.000000e+02,4,"0.986121",50.00,9.654480e-01
1.000000e+02,5,"0.986352",50.00,9.687026e-01
1.000000e+03,0,"2.74859e-13",7.88,1.000000e+00
1.000000e+03,1,"0.997525",48.88,9.918188e-01
1.000000e+03,2,"0.998147",75.88,9.932686e-01
1.000000e+03,3,"0.998173",94.88,9.939513e-01
1.000000e+03,4,"0.998101",106.00,9.949987e-01
1.000000e+03,5,"0.997954",110.00,9.957522e-01
1.000000e+04,0,"2.98051e-12",6.00,1.000000e+00
1.000000e+04,1,"0.999744",50.75,9.991509e-01
1.000000e+04,2,"0.999791",71.62,9.992813e-01
1.000000e+04,3,"0.999789",93.88,9.993409e-01
1.000000e+04,4,"0.999765",133.38,9.994588e-01
1.000000e+04,5,"0.999757",177.00,9.995472e-01
